caso,alpha,origen,destino,distancia_base_m,distancia_alternativa_m,incremento_distancia_pct,ier_base,ier_alternativo,reduccion_ier_pct,ruta_cambio
10,0.5,8638574824,12079521367,15789.050860818292,15789.050860818292,0.0,0.24417109341905224,0.24417109341905224,0.0,False
11,0.5,89318596,11462899302,15675.971942763943,15676.101044837773,0.0008235666298798169,0.19292775897030573,0.19287199092484533,0.028906180094581683,True
12,0.5,471112549,12916778952,9450.524154291856,9450.524154291856,0.0,0.16791814153103998,0.16791814153103998,0.0,False
13,0.5,11047216026,6034896758,6261.858246698843,6278.490034831531,0.2656046732047412,0.21759945524748048,0.2035570435385786,6.4533303601018455,True
14,0.5,1067030423,6685636158,2010.5764457002997,2010.5764457002997,0.0,0.2910397119169709,0.2910397119169709,0.0,False
15,0.5,11851497880,2426029187,1258.4295950341655,1258.4295950341655,0.0,0.3596380731248534,0.3596380731248534,0.0,False
16,0.5,81917860,243462091,12974.550119034831,12974.550119034831,0.0,0.24104212321786705,0.24104212321786705,0.0,False
17,0.5,6034979261,4072735918,2641.5831093251245,2641.5831093251245,0.0,0.3279695417927774,0.3279695417927774,0.0,False
18,0.5,2418484955,241968643,14973.401885536718,14996.542877875856,0.15454732676006652,0.26156557476053044,0.25447170280458686,2.7120816500558935,True
19,0.5,886393813,3846153504,6960.636511511439,6972.709501523919,0.1734466379980402,0.2894745579466468,0.22195378932348855,23.325286029317652,True
20,0.5,206119285,205501570,4251.3130513330325,4251.3130513330325,0.0,0.31094578159038544,0.31094578159038544,0.0,False
21,0.5,4525551515,206109370,14020.722700095603,14023.177229851079,0.017506442485017006,0.382445448780658,0.3449814671900548,9.795902058724653,True
22,0.5,4456597250,4322661441,10021.017343144165,10021.18700477108,0.0016930579112376914,0.20794323032464201,0.2069098310584495,0.4969622067422704,True
23,0.5,12079633066,2153010956,11142.59536955801,11142.59536955801,0.0,0.30907375868602116,0.30907375868602116,0.0,False
24,0.5,190996837,7337715737,6799.045367168021,6799.045367168021,0.0,0.06709570471134325,0.06709570471134325,0.0,False
25,0.5,10681923737,218308131,535.2404574004254,535.2404574004254,0.0,0.1739728134658946,0.1739728134658946,0.0,False
26,0.5,4524178066,199651466,12390.298757403689,12390.298757403689,0.0,0.20021113492940054,0.20021113492940054,0.0,False
27,0.5,11267813276,2973570883,11092.341239912548,11092.391535253675,0.00045342403410687294,0.18626532961621972,0.18617546035717833,0.04824798003286929,True
28,0.5,12324595302,12244768073,3423.1162055447235,3423.1162055447235,0.0,0.11767705593239339,0.11767705593239339,0.0,False
29,0.5,4464198679,11688082425,8736.05463416934,8736.05463416934,0.0,0.1857189244057312,0.1857189244057312,0.0,False
30,0.5,316479920,199456382,8912.607876733773,8912.607876733773,0.0,0.1964786787389676,0.1964786787389676,0.0,False
1,1.0,12557786965,206154801,10125.623855288999,10185.308804147055,0.589444657544531,0.31421795043753814,0.30461090048469047,3.0574478445519,True
2,1.0,89283387,2300081764,12586.750278547654,12865.092752829642,2.2113926797799714,0.32891409902072566,0.24500648942230335,25.51049342312781,True
3,1.0,1627144362,1139217432,15942.648439266402,15942.648439266402,0.0,0.1746132401792858,0.1746132401792858,0.0,False
4,1.0,235355154,206119334,2592.8618900408283,2592.8618900408283,0.0,0.2316182917888654,0.2316182917888654,0.0,False
