caso,franja,distancia_base_m,distancia_alternativa_m,incremento_distancia_pct,ier_base,ier_alternativo,reduccion_ier_pct,ruta_cambio
29,General,8736.05463416934,8736.05463416934,0.0,0.1857189244057312,0.1857189244057312,0.0,False
30,General,8912.607876733773,8913.16800239939,0.006284643881612989,0.1964786787389676,0.19644431061225925,0.017492038794705553,True
1,Madrugada,10125.623855288999,10125.623855288999,0.0,0.1747033599336072,0.1747033599336072,0.0,False
2,Madrugada,12586.750278547654,13289.539912552578,5.5835669926869915,0.20753666526048437,0.11665354382838161,43.79135673112658,True
3,Madrugada,15942.648439266402,15942.648439266402,0.0,0.0951659152606924,0.0951659152606924,0.0,False
4,Madrugada,2592.8618900408283,2592.8618900408283,0.0,0.1314398962573102,0.1314398962573102,0.0,False
5,Madrugada,14863.15070056967,14871.732991016015,0.057742067070724004,0.16100332743116766,0.1607144462216576,0.1794256144386641,True
6,Madrugada,9306.951026079172,9306.951026079172,0.0,0.0855569811827511,0.0855569811827511,0.0,False
7,Madrugada,5690.2062392180405,5691.000186773775,0.013952878373055718,0.12349803971239295,0.12342987780068125,0.055192707406887906,True
8,Madrugada,9275.662768958206,10203.768858001418,10.005819661201986,0.23543914648978934,0.11775788309155592,49.98372834457123,True
9,Madrugada,10382.064196327145,10479.143937806995,0.935071674033711,0.12097196975576521,0.10303470326535741,14.827622073627483,True
10,Madrugada,15789.050860818292,16661.727098446172,5.527097514097515,0.1445872747453275,0.11176579748608706,22.700114734890327,True
11,Madrugada,15675.971942763943,15676.101044837773,0.0008235666298798169,0.10821310462694723,0.1081918244213652,0.01966509107690533,True
12,Madrugada,9450.524154291856,9545.695159835483,1.0070447309571295,0.09271047648151497,0.0878858965070642,5.2039210211725235,True
13,Madrugada,6261.858246698843,6279.283982387267,0.27828377778451185,0.12073996481126224,0.11508932023709931,4.680011778201099,True
14,Madrugada,2010.5764457002997,2010.5764457002997,0.0,0.1358865657879771,0.1358865657879771,0.0,False
15,Madrugada,1258.4295950341655,1258.4295950341655,0.0,0.18521743655423029,0.18521743655423029,0.0,False
16,Madrugada,12974.550119034831,13103.585588032423,0.9945275004817732,0.12775264848008924,0.12196647305257173,4.529201935425481,True
17,Madrugada,2641.5831093251245,2721.045734942999,3.008144068508057,0.1751911002674,0.15821648027622334,9.689202228462369,True
18,Madrugada,14973.401885536718,15000.0991175479,0.17829770559333927,0.1396490979701239,0.13740308725341838,1.6083245429813129,True
19,Madrugada,6960.636511511439,7201.469938703993,3.4599339700365905,0.2023476920107084,0.1367512965987399,32.41766424916627,True
20,Madrugada,4251.3130513330325,4335.298261131044,1.9755122425453198,0.19949776502026859,0.18650367037477006,6.513403618420663,True
21,Madrugada,14020.722700095603,15477.550809018085,10.390535067871705,0.2188456671574177,0.11366786371092925,48.06026311264966,True
22,Madrugada,10021.017343144165,10118.442709996601,0.9722103406905015,0.10808761045549892,0.10229423044378622,5.359892764118337,True
23,Madrugada,11142.59536955801,11142.59536955801,0.0,0.1667450101895423,0.1667450101895423,0.0,False
24,Madrugada,6799.045367168021,6799.045367168021,0.0,0.04679869657887936,0.04679869657887936,0.0,False
25,Madrugada,535.2404574004254,535.2404574004254,0.0,0.1119988772857929,0.1119988772857929,0.0,False
26,Madrugada,12390.298757403689,12425.943604764501,0.2876835180387664,0.11976009003126444,0.11823828654720799,1.270710036756961,True
27,Madrugada,11092.341239912548,11092.391535253675,0.00045342403410687294,0.1001210738999982,0.10003488515213523,0.08608452197493095,True
28,Madrugada,3423.1162055447235,3423.1162055447235,0.0,0.07014708116295648,0.07014708116295648,0.0,False
29,Madrugada,8736.05463416934,8736.05463416934,0.0,0.10790785015451655,0.10790785015451655,0.0,False
30,Madrugada,8912.607876733773,8912.607876733773,0.0,0.1096172737878109,0.1096172737878109,0.0,False
1,Mañana,10125.623855288999,10220.031350013774,0.9323622531708289,0.2760982666692427,0.2671931722234542,3.2253351508564707,True
2,Mañana,12586.750278547654,13289.539912552578,5.5835669926869915,0.29014063367819914,0.21184695640799908,26.984733671271005,True
3,Mañana,15942.648439266402,16078.59194163594,0.8527033816709584,0.17590074135461276,0.17052016518754654,3.0588706594584925,True
4,Mañana,2592.8618900408283,2592.8618900408283,0.0,0.2361277609576353,0.2361277609576353,0.0,False
5,Mañana,14863.15070056967,14930.706695237246,0.45452001415142357,0.2728203690306887,0.26417412785841,3.169206611294519,True
6,Mañana,9306.951026079172,9310.568423559756,0.0388676965254022,0.15757948945939498,0.1572750654185808,0.19318760446461963,True
7,Mañana,5690.2062392180405,5691.000186773775,0.013952878373055718,0.1809127684868686,0.1807701624793028,0.07882583897119987,True
8,Mañana,9275.662768958206,9594.213505050833,3.434263879867267,0.3182494170313049,0.25139765417975846,21.006091220889964,True
